title	is_fake
  белорусский    телевидение    включить    реклама    момент    попадание    таракан    трансляция    футбольный    матч    олимпиада  	1
  украина    опуститься    четвёртый    место    отборочный    группа    евро  	0
  greenpeace    предложить    запретить    сми    указывать    биологический    вид    вредитель  	1
  франкфуртский    книжный    ярмарка    россия    представить    издательство  	0
  сбой    приложение    конституция    россия    мочь    ввести    конституционный    монархия  	1
  учёный    заглянуть    прошлое    марсианский    океан  	0
  период    предвыборный    кампания    магазин    изъять    книга    захар    прилепин  	1
  группа    король    шут    дать    концерт    одного    вокалист  	0
  швейцария    найти    золото    которое    ленин    получить    немец    революция    россия  	1
  мила    кунис    стать    ведьма    страна    оз  	0
  тбилиси    начаться    столкновение    полиция    протестовать    приезд    познер  	1
  оправдать    российский    суд    будут    назначать    условный    наказание  	1
  сибирский    учёный    создать    полотенце    водоотталкивающий    свойство  	1
  вмф    россия    год    пополниться    новый    подлодка  	0
  росприроднадзор    потребовать    отозвать    лицензия    британский    нефтяник  	0
  лана    дель    рей    вдохновиться    конфликт    сша    кндр    написать    песня  	0
  минпросвещения    предложить    пороть    розга    участвовать    митинг    школьник    студент  	1
  барселона    выйти    четвертьфинал    лига    чемпион  	0
  белоруссия    запретить    делать    евроремонт  	1
  минэнерго    фрг    выпустить    обучать    ролик    пошив    тулуп  	1
  российский    орбитальный    станция    сформировать    пять    модуль  	0
  стать    мем    дед    гарольд    привязать    стул    доминирующий    начальница  	0
  умереть    поэтесса    андре    шедид  	0
  летняя    аргентинка    забеременеть    прививка    спутник  	1
  доллар    рухнуть    отказ    фнб    американский    валюта  	1
  польша    готовиться    издать    поэма    папа    римский  	0
  подмосковье    третий    сутки    искать    полицейский    поехать    проверка    мусороперерабатывающий    завод  	1
  олимпийский    винтовка    бьорндалена    ошибка    отправить    амстердам  	0
  четырёхкратный    олимпийский    чемпионка    уйти    спорт    лет  	0
  станислав    черчесов    назначить    новый    главный    тренер    сборная    россия    футбол  	1
  чиновник    утвердить    одно    основный    положение    отмена    мобильный    рабство  	0
  ухань    честь    годовщина    пандемия    covid    испечь    самый    большой    мир    пирог    летучий    мышь  	1
  медведев    решить    ликвидировать    рффи  	0
  елизавета    ii    посетить    кентерберийский    завод    колёсный    тягач    устроить    разнос    руководство  	1
  старый    playstation    расплавить    помощь    газ    термит  	0
  андрей    кондрашов    снять    фильм    минск    дорога    домой  	1
  чубайс    попросить    откачать    вакцина    pfizer  	1
  марк    цукерберг    прибыть    коростенский    суд    иск    мэр    город    против    facebook    негативный    комментарий    горожанин    свой    пост  	1
  россиянин    обязать    страховать    свой    пенсионный    накопление  	1
  взрыв    батарея    мобильник    убить    китаец  	0
  госдума    первый    чтение    убрать    библия    заповедь    украсть  	1
  бывший    форвард    сборная    юар    футбол    погибнуть    дтп  	0
  роберт    дауни    младший    сражаться    чужой    дикий    запад  	0
  австралия    присоединиться    запрет    кассетный    боеприпас  	0
  любовь    соболь    пообещать    продолжить    борьба    сирия  	1
  центробанк    начать    размещать    реклама    новый    купюра  	1
  саундтрек    великий    гэтсби    удержать    лидерство    российский    чарт    itunes  	0
  центробанк    предложить    установить    курс    рублей    доллар  	0
  либеральный    консервативный    иисус    оказаться    совершенно    разный  	0
  костя    цзю    перейти    другую    весовой    категория  	0
  россия    оценить    число    потенциальный    банкрот  	0
  московский    метро    найти    бесхозный    контрольный    пакет    акция    норникеля  	1
  минздрав    поблагодарить    гражданин    самостоятельно    вакцинировавшихся    общественный    место  	1
  православный    активист    намерен    сорвать    лекция    гомеоморфизм    мгу  	1
  депутат    дума    устроить    давка    драка    время    распродажа    доллар    льготный    курс  	1
  пятёрочка    минировать    дорогой    товар    предотвращение    кража  	1
  игорь    моисеев    отмечать    летний    юбилей  	0
  domestos    разработать    свой    антивирус  	1
  канцлер    германия    спасти    банкротство    крупный    строительный    фирма  	0
  роспотребнадзор    приостановить    ввоз    молочный    продукция    литва  	0
  россия    пометить    весь    лекарство  	0
  портал    работа    россия    потратить    млрд    рубль    трудоустройство    заключенных  	1
  президент    украинского    клуб    рассказать    желание    купить    месси    миллион    евро  	0
  предотвращение    дальнейший    испражнение    улица    петербург    демонтировать    весь    балкон  	1
  словарь    abbyy    lingvo    получить    функция    видеоперевода  	0
  мариинский    театр    поневоле    присоединиться    всеобщий    забастовка    италия  	0
  начальный    класс    перевести    учебник    арифметика    юрий    рыбникова  	1
  медведев    назвать    газпром    национальный    достояние  	0
  сильнейшие    бейсболист    мир    уличить    применение    допинг  	0
  игра    борьба    космический    морпехов    ксеноморфов    выйти    зима    год  	0
  бардему    предложить    озвучить    мультипликационный    злодей  	0
  активист    blm    раскритиковать    музей    мадам    тюссо    слишком    белый    скульптура    байдена  	1
  новый    город    сибирь    построить    место    омск  	1
  поветкин    рассказать    готовность    реваншу    кличко  	0
  вшэ    установить    процентную    квота    приёме    девушка    представитель    лгбт    национальный    меньшинство  	1
  трамп    заявить    план    создание    партия    единый    америка  	1
  цена    норвежский    красный    рыба    достигнуть    десятилетний    максимум  	0
  лубянский    площадь    перекрыть    январь    установка    памятник    дзержинский  	1
  москва    пройти    фестиваль    психоделический    рок  	0
  микроавтобус    уаз    краш    тест    германия    разбиться    доехать    бетонный    блок  	1
  сергей    иванов    литва    система    свой    чужой    российский    истребитель  	0
  депутат    предложить    принудительно    конвертировать    весь    валютный    вклад    россиянин    рубль    угроза    введение    новый    санкция  	1
  burger    king    начать    продавать    хот    доги  	0
  директор    европейский    институт    генетика    расист    мочь    говорить    наука    обязать    белый    мышам  	1
  oxxxуmiron    признаться    автор    текст    новый    альбом    являться    гострайтер    нейросеть  	1
  причина    рост    цена    бензин    стать    картельный    сговор    нефтяник  	0
  задолженность    зарплата    россия    вырасти    шесть    процент  	0
  николай    лукашенко    назвать    свой    кумир    джастин    трюдо  	1
  футболист    сборная    алжир    ударить    журналистка  	0
  известный    картина    леонардо    винчи    обнаружить    qr    код  	1
  дальше    божий    помощь    москва    мужчина    пустить    храм    инвалидный    коляска  	1
  бельгийский    министр    одобрить    бегство    француз    налог  	0
  олег    кашин    назначить    новый    глава    издательский    дом    комсомольский    правда  	1
  джо    байден    хотеть    потребовать    освободить    навальный    забыть    имя  	1
  людмила    путин    потребовать    половина    дворец    геленджик  	1
  азербайджан    увеличить    военный    бюджет    полтора  	0
  шойгу    предложить    строить    место    сгореть    лес    город    якутия  	1
  христенко    ошибочно    заявить    рекордный    падение    промышленность  	0
  московский    учёный    допустить    существование    разумный    форма    жизнь    предел    мкад  	1
  оперативник    агентство    национальный    безопасность    украина    заменить    балаклава    традиционный    японский    маска  	1
  газпром    провёл    газ    родный    деревня    адольф    гитлер  	1
  цик    рф    предложить    ввести    допустимый    лимит    ошибка    подсчёт    голос  	1
  правительство    россия    дорого    заплатить    федеральный    целевой    программа  	0
  объявить    размер    пенсия    неработающий    пенсионер  	0
  тренер    российский    клуб    поклясться    ребёнок    честной    игра  	0
  правительство    снизить    пенсионный    возраст    год    вакцинировать    гражданин  	1
  суд    комсомольск    амур    внести    роман    островский    закалялась    сталь    список    экстремистский    материал  	1
  единый    россия    мочь    укомплектовать    фракция    госдума    нежелание    кандидат    принимать    депутатский    мандат  	1
  владелец    сеть    розовый    кролик    пустить    австралия  	1
  navistar    поставить    крупный    партия    грузовик    канадский    армия  	0
  защита    навальный    эльман    пашаев    досрочно    восстановить    действие    адвокатский    лицензия  	1
  лара    крофт    лишить    сюжетный    дополнение  	0
  камера    nexus    заставить    работать    быстрей  	0
  путин    рассказать    новый    налоговый    льгота    нефтяник  	0
  армения    год    перейдёт    кириллица  	1
  делегация    движение    талибан    встретиться    воспитанник    юнармии  	1
  институт    виноградов    рекомендовать    переименовать    русский    язык    российский  	1
  владимир    мединский    рассказать    почему    термины    северный    война    семилетний    война    равноправный  	1
  инфляция    начало    год    перевалить    четыре    процент  	0
  ридус    сообщить    обыск    азиатско    тихоокеанский    банк  	0
  курников    переигрывать    сеяный    теннисистка  	0
  националист    просвирнин    признать    нежелательный    территория    россия  	1
  москва    место    maximum    открыться    главклуб  	0
  лондон    вручить    театральный    премия    лоуренс    оливье  	0
  гражданин    белоруссия    испражниться    здание    международный    суд    оон    гаага  	1
  российский    фигуристка    ирина    слуцкий    дать    серебряный    медаль  	0
  минпросвещения    перенести    старт    егэ    огэ    января  	1
  жена    билл    гейтс    развод    получить    корзина    обои    internet    explorer  	1
  автор    песня    american    pie    арестовать    домашний    насилие  	0
  samsung    выпустить    экологичный    терабайтный    жёсткий    диск  	0
  утконосых    динозавр    оказаться    отличный    зуб  	0
  день    вдв    власть    москва    ввести    qr    код    купание    фонтанах  	1
  фанат    загитов    затравить    одну    олимпийский    призерку  	0
  памфилов    намекнуть    знать    разрешить    конфликт    брюханов    литвинович  	1
  лихтенштейн    помешать    иностранец    уходить    налог  	0
  хоккеист    ударить    лицо    объятие    соперник  	0
  фас    прекратить    дело    против    google  	0
  мкс    цуп    перейти    зимний    время  	0
  египетский    водитель    запретить    включать    двигатель    около    пирамида  	0
  wada    запретить    спортсмен    привить    спутник    выступать    олимпиада  	1
  выйти    второй    трейлер    чудо    женщины    галь    гадот  	0
  брызгалов    одержать    победа    сезон  	0
  последний    год    прокуратура    проверка    банк    югра  	0
  менеджер    юкос    сами    искать    директор  	0
  джереми    айронс    сыграть    генрих    iv    телефильм  	0
  россия    начаться    разработка    уголовный    кодекс    антипрививочников  	1
  новатэк    попросить    кремль    выделить    политзаключённый    обмен    арестовать    сша    топ    менеджер    компания  	1
  россия    мочь    запретить    пьяный    поножовщина  	1
  родить    мальчик    будут    получать    повышенный    материнский    капитал  	1
  эффективный    борьба    коронавирус    доктор    фаучи    рекомендовать    прислушаться    кашпировскому  	1
  вратарь    сборная    исландия    заранее    готовиться    пенальти    месси  	0
  всемирный    фольклориаде    уфа    вывести    новый    штамм    коронавирус  	1
  муамар    каддафи    стать    совладелец    ювентус  	0
  китай    появиться    первый    биотехнологический    майнинговая    ферма  	1
  теодор    рузвельт    продлить    срок    служба  	0
  милонов    потребовать    пускать    океан    ельзи    россия  	0
  новый    закон    вывести    депутат    действие    закон  	1
  беглов    объявить    старт    сезон    разведение    мост    санкт    петербург  	1
  участие    акция    протест    россиянин    обязать    предоставить    справка    психиатр  	1
  сколково    доставить    образец    кристалл    комета    галлей    анти    масс    спектрографии  	1
  японский    футболист    изуродовать    машина  	0
  автор    книга    гарри    поттер    пожертвовать    доллар    борьба    рак  	0
  омск    задержать    трое    мужчина    которые    попытаться    вбросить    бюллетень    год    сталин  	1
  автобус    возить    президент    весь    дед    занять    место    окно    анатолий    вассерман    рассказать    случай    дедовщина    госдума  	1
  японский    экспорт    сократиться    ноябрь    четверть  	0
  коронавирусных    ограничение    процент    школьница    смочь    потерять    девственность    выпускной  	1
  демократический    партия    сша    отзовёт    палата    представитель    весь    гетеросексуальный    конгрессмен  	1
  великобритания    изменить    дата    смерть    могила    джордж    оруэлл  	1
  российский    футбольный    союз    принять    извинение    капитан    сборная    латвия  	0
  рейтинг    джо    байдена    вырасти    появление    билборд    пенсильвания  	1
  учёный    сколково    установить    частый    использование    кофеварка    ускорять    её    износ  	1
  предложение    рго    землю    франц    иосиф    переименуют    земля    пётр    феврония  	1
  неделя    плеер    blu    ray    отвоевать    hd    dvd    треть    рынок  	0
  нидерланды    увеличить    свой    контингент    афганистан  	0
  дефицит    уран    тепловыделяющие    сборка    белорусский    аэс    заменить    процессор    amd  	1
  учитель    музыка    рассказывать    ребёнок    соль    остаться    стража    суд  	1
  мегафон    перестать    предоставлять    доступ    интернет    рейс    аэрофлот  	0
  франция    продать    атомный    подлодка    которых    отказаться    австралия    кндр  	1
  кремль    предоставить    оппозиционный    деятель    культура    бесплатный    билет    пароход    стокгольм  	1
  walt    disney    выпустить    ранний    мультфильм    бертон  	0
  сталин    осведомитель    охранный    отделение    глава    общественный    палата    призвать    гражданин    активнее    сообщать    нарушение    закон  	1
  ваш    гагарин    безбожник    рпц    призвать    идеализировать    личность    первый    космонавт  	1
  индекс    ртс    упасть    ниже    пункт  	0
  анб    проверить    причастность    российский    спецслужба    заражение    джен    псаки    коронавирус  	1
  эмблема    олимпиады    токио    заменить    обвинение    плагиат  	0
  президент    монголия    назвать    александр    невский    хороший    русский    правитель  	1
  владимир    крикунов    покинуть    пост    тренер    российский    хоккейный    сборная  	0
  сборная    россия    пригласить    новый    биатлонистка  	0
  санкция    сша    россия    убрать    английский    надпись    схема    навигация  	1
  госдума    внести    законопроект    запрещать    публично    подвергать    сомнение    результат    выбор  	1
  армия    сша    заказать    крупный    партия    прибор    ночной    видение  	0
  мороз    заставить    разбронировать    стратегический    резерв    топливо  	0
  следующий    президентский    выбор    американец    будут    голосовать    исключительно    почта  	1
  балтфлот    требовать    губернатор    беглова    рубль    испорченную    рында  	1
  ужесточение    санитарный    норма    апарт    отель    аркадий    ротенберга    оказаться    грань    банкротство  	1
  минюст    обратиться    суд    взыскание    навальный    выплатить    компенсация    решение    еспч  	1
  румыния    попросить    ес    мвф    антикризисный    кредит  	0
  зюзинский    суд    обязать    юрий    дудя    согласовывать    мвд    кандидатура    интервью  	1
  минкульт    предложить    высечь    знаменитый    фраза    лавров    гранит    установить    мид  	1
  многодетный    отец    продать    пенсионер    тысяча    талон    интернет  	1
  профсоюз    рэпер    москва    потребовать    освободить    оксимирона  	1
  инфляция    россия    начало    год    превысить    процент  	0
  астроном    обнаружить    чёрный    дыра    финансовый    отчёт    роснано  	1
  авиакомпания    utair    избавиться    весь    ту  	0
  телекомментатор    отказаться    извиняться    плющенко  	0
  итог    год    хороший    новость  	1
  российский    биатлонистка    остаться    медаль    индивидуальный    гонка  	0
  подмосковье    получить    компенсация    расширение    москва  	0
  россия    запретить    продавать    автомобиль    ограничитель    скорость  	1
  хабаровский    коммунальный    служба    перекрасить    весь    великий    китайский    стена    граффити    навальный  	1
  давид    микеланджело    защитить    грязь    помощь    сквозняк  	0
  долг    российский    регион    вырасти    процент    год  	0
  боярский    потерять    надежда    чемпионство    зенит  	0
  белый    дом    объяснить    миролюбивый    тон    речь    байдена    сбой    работа    телесуфлёра  	1
  центробанк    лишать    лицензия    банк    предоставлять    кредит    покупка    игровой    приставка  	1
  сборная    россия    разгромить    анжи  	0
  россия    поплатиться    отсталость  	0
  вера    буржуазный    суд    кпрф    оспорить    итог    выбор    собственный    партийный    тройка  	1
  клуб    сан    марино    пригласить    ромарио    шумахер    участие    лига    чемпион  	0
  интервью    марадоны    напомнить    пагубный    пристрастие  	0
  уголовный    кодекс    появиться    наказание    разглагольствование  	1
  следственный    комитет    установить    весь    участник    массовый    беспорядок    август    го  	1
  ковальчук    оторваться    овечкин    спор    снайпер    нхл  	0
  visa    mastercard    мочь    разделить    судьба    microsoft  	0
  фсин    смочь    объяснить    ефремов    сняться    сериал    год  	1
  оппозиция    отвергнуть    второй    кандидатура    пост    председатель    японский    цб  	0
  чемпион    нба    оказаться    грань    вылет    плей    офф  	0
  биржи    поднять    стоимость    сбербанк    пять    процент  	0
  дальний    восток    задержать    рыбак    раскачивавших    лодка  	1
  сэм    мендес    поставить    мюзикл    чарли    шоколадный    фабрика  	0
  установка    новый    дорожный    знак    тротуар    выделить    миллиард    рубль  	1
  петербуржец    запретить    выходить    улица    время    проведение    парад    вмф  	1
  госдума    призвать    платить    пенсия    впасть    маразм  	1
  москва    пожертвует    демонтированную    плитка    заповедник    херсонес    таврический  	1
  бактерия    превратить    растение    спирт  	0
  несанкционированный    митинг    поддержка    арестовать    губернатор    белозерцев    проходить    пенза  	1
  учёные    сколково    разработать    система    умный    электронный    голосование  	1
  чучело    евгений    понасенкова    выставить    палата    мера    вес  	1
  жертва    мейдоффа    стэнфорда    объединиться    ради    жалоба    конгресс    сша  	0
  исполнять    обязанность    директор    исаакий    вовненко    порадоваться    уход    пост  	0
  twitter    замедлить    работа    аккаунт    роскомнадзор  	1
  волгоградский    депутат    пересесть    общественный    транспорт    будут    судить    попытка    насильственный    свержение    власть  	1
  осудить    статья    ук    мошенничество    привлечь    работа    выбор    госдума  	1
  российский    защитник    забросить    победный    шайба    матч    нхл  	0
  марш    побежденных    арестовать    протестовать    провести    конвой    центр    москва  	1
  юрий    розум    опровергнуть    свой    назначение    ректор    гнесинки  	0
  деятель    культура    публично    выражать    антигосударственный    позиция    лишить    статус    российский  	1
  динара    сафин    выйти    финал    australian    open  	0
  минсельхоз    предложить    бесплатно    раздавать    земля    аграрный    проект  	0
  шохин    заняться    перестановками    рспп  	0
  рекордный    выручка    apple    привести    обвал    акция    компания  	0
  станислав    черчесов    назначить    главный    тренер    сборная    россия    хоккей  	1
  яндекс    мвд    объявить    создание    онлайн    проекта    яосведомитель  	1
  министр    нефть    иран    указать    опек    чрезмерный    экспорт  	0
  анатолий    вассерман    пресс    конференция    верно    ответить    вопрос    журналист  	1
  российский    бобслеист    олимпиец    объявить    возвращение    армрестлинг  	0
  делегация    цик    беларусь    прибыть    москва    курс    повышение    квалификация  	1
  российский    фехтовальщик    выиграть    золото    чемпионат    мир  	0
  валентина    терешков    утро    внесёт    госдума    законопроект    полный    запрет    оружие    гражданский  	1
  сборная    россия    отказаться    забивать    гол    пока    губерниев    встать    колено    бузов  	1
  совфеде    призвать    ввести    запретить    конституция    цензура    идеология  	1
  депутат    призвать    россиянин    соблюдать    великий    пост    окончание    пандемия  	1
  среди    привившихся    июнь    молодой    москвич    разыграть    военный    билет  	1
  зюганов    выгнать    партия    кухарка    которая    намереваться    стать    лидер    кпрф  	1
  уралвагонзавод    приостановить    работа    задержание    рабочий    вечерний    смена  	1
  дмитрий    солдатов    возглавить    российский    список    forbes  	1
  пенсионный    фонд    запросить    правительство    млрд    рубль    падение    цена    биткоина  	1
  виктор    янукович    представить    книга    независимый    украина    год    деградация  	1
  американский    eximbank    найти    дать    деньга  	0
  губернатор    моргенштерн    заблокировать    суэцкий    канал    новый    полномочие    пенсионный    фонд    уникальный    медицинский    операция    екатеринбург    наш    еженедельный    рубрика    панорама    неделя  	1
  европейский    экономика    пасть    натиск    китаец  	0
  полинезия    найти    зуб    поль    гоген  	0
  призывник    негодных    состояние    здоровье    отправить    альтернативный    гражданский    служба  	1
  госслужащий    лишний    вес    выдать    денежный    пособие    поддержание    здоровье  	1
  сколково    выпустить    новый    модель    клюкала  	1
  погребальный    группа    гана    заметить    одной    гостиница    покров  	1
  живите    лес    эрдоган    распорядиться    неделя    выселить    турецкий    город    весь    противник    вакцинация  	1
  состав    московский    водопроводный    вода    найти    взрывоопасный    газ  	1
  дед    мороз    проведёт    прямой    линия    первый    канал    декабрь  	1
  париж    завести    дело    поддельный    билет    лувр  	0
  лорел    хаббард    объяснить    неудача    олимпиада    беременность  	1
